"id","airline_name","overall_rating"
41,"Qatar Airways","8.470"
42,"Singapore Airlines","8.390"
43,"Lufthansa","8.010"
44,"Qantas Airways","7.900"
45,"Thai Airways","7.900"
46,"Cathay Pacific Airways","7.850"
47,"Klm Royal Dutch Airlines","7.750"
48,"Malaysia Airlines","7.740"
49,"Emirates","7.460"
50,"Turkish Airlines","7.320"
51,"British Airways","7.050"
52,"Virgin Atlantic Airways","6.820"
53,"Jet Airways","6.670"
54,"Air France","6.610"
55,"Delta Air Lines","6.600"
56,"Etihad Airways","6.380"
57,"Air Canada","5.940"
58,"American Airlines","5.300"
59,"United Airlines","5.240"
60,"Us Airways","4.940"
