"id","airline_name","overall_rating"
41,"Qatar Airways","8.200"
42,"Turkish Airlines","8.010"
43,"Qantas Airways","7.880"
44,"Emirates","7.460"
45,"Cathay Pacific Airways","7.400"
46,"Virgin Atlantic Airways","7.000"
47,"Etihad Airways","7.000"
48,"Lufthansa","6.900"
49,"Malaysia Airlines","6.850"
50,"Thai Airways","6.820"
51,"Air Canada","6.820"
52,"British Airways","6.770"
53,"Jet Airways","6.630"
54,"Singapore Airlines","6.500"
55,"Us Airways","6.500"
56,"Klm Royal Dutch Airlines","6.500"
57,"Delta Air Lines","5.930"
58,"American Airlines","5.910"
59,"Air France","5.810"
60,"United Airlines","5.150"
