id,airline_name,overall_rating
101,Qatar Airways,8.370
102,Singapore Airlines,8.350
103,Lufthansa,7.980
104,Thai Airways,7.890
105,Qantas Airways,7.860
106,Cathay Pacific Airways,7.790
107,Malaysia Airlines,7.720
108,Klm Royal Dutch Airlines,7.710
109,Emirates,7.380
110,Turkish Airlines,7.250
111,British Airways,6.970
112,Virgin Atlantic Airways,6.690
113,Jet Airways,6.640
114,Air France,6.590
115,Delta Air Lines,6.560
116,Etihad Airways,6.290
117,Air Canada,5.870
118,American Airlines,5.230
119,United Airlines,5.140
120,Us Airways,4.880
