id,airline_name,overall_rating
101,Qatar Airways,8.170
102,Turkish Airlines,8.040
103,Qantas Airways,7.870
104,Emirates,7.440
105,Cathay Pacific Airways,7.400
106,Virgin Atlantic Airways,7.000
107,Etihad Airways,6.960
108,Lufthansa,6.910
109,Air Canada,6.830
110,Thai Airways,6.820
111,Malaysia Airlines,6.820
112,British Airways,6.760
113,Jet Airways,6.630
114,Singapore Airlines,6.510
115,Us Airways,6.500
116,Klm Royal Dutch Airlines,6.500
117,Delta Air Lines,5.930
118,American Airlines,5.890
119,Air France,5.810
120,United Airlines,5.150
