airline_name,content,airport,overall_rating,comfort_rating,cleanliness_rating,bar_beverages_rating,catering_rating,washrooms_rating,wifi_connectivity_rating,staff_service_rating,recommended
Air Canada,"Travellers are warned that the Air Canada Maple Leaf Lounge at Calgary Intl Airport is undergoing construction. Based on our visit, this is an understatement. We visited the lounge in mid-July 2015 to be greeted by an experience of very poor seating, meagre food offerings and overcrowding. Even restrooms were only limitedly available, due to cleaning which went on for quite some time. In some cases, an airport may offer venues so peaceful and reasonable that it pays to visit them instead of using the airline lounge. The Maple Leaf Lounge at Calgary international exemplifies a second situation where the lounge is so inadequate and overcrowded that even poor airport venues make for a better place to wait for flights. Lounge personnel here were more interested in surfing the Internet than assisting airline customers with questions about connections or required services.",Calgary Airport,2.0,1,1,3.3,2.0,3.0,1.0,1.0,no
Air Canada,"A nice lounge, with nice view of the tarmac. 2 soups on choice, Dips, as well as salads and sandwiches. Self serve soft drinks and alcohol. Have a kid zone, business center. I can see it can be crowded. Only accessible via elevators. No stairs. So take extra time before leaving the lounge to get to your gate. Better than any Delta, American, United lounges. Still weaker than average premium lounge in Europe.",Toronto Pearson Airport,6.0,4,3,4.0,3.0,4.0,4.0,4.0,yes
Air Canada,The terminal is under renovation and as a result it was difficult to find the entrance to the Air Canada business class lounge. The seating in the lounge was okay (we spent a couple of hours there) but the food and the Air Canada staff were poor at best.,Los Angeles Lax Airport,6.0,4,3,1.0,1.0,2.0,4.0,1.0,no
Air Canada,Having flow out of T2 twice on Eva Air recently this review covers both visits. Eva use the Air Canada lounge along with a couple of other Star Alliance carriers. It is close (2-3 minutes) to the boarding gates but suffers like some others on T2 in that it's a fair hike from immigration to the gates/lounge. One inside it is very modern and comfortable with a nice bar and service good range of food and good personal space. Travelling on a Wednesday evening there were not many people in the lounge and it felt quite and comfortable. A vast improvement on the old T3 lounge shared with SAS.,London Heathrow Airport,4.0,4,5,4.0,4.0,4.0,5.0,5.0,yes
Air Canada,Worst lounge we have ever seen. Food buffet was almost empty and dirty and not filled up within hours. Washrooms very dirty. Noisy. Disappointing experience.,Toronto Pearson Airport,1.0,2,1,1.0,1.0,1.0,3.0,1.0,no
Air Canada,"Air Canada has made significant improvements in most of its lounges and they are obvious with the upgrade in service and food selection being noticeable. Gone are the days of dirty dishes and rude staff. It has been a welcome improvement. Unfortunately the YYZ MLL International lounge at the E gates seems to have been left behind. On the day I used it it was very busy with limited food offered and an unpleasant ambience. There are just too many people using the lounge many of whom have access because of their frequent flyer status. The end result is that pax who are flying on the expensive long haul flights in business class receive a mediocre experience. It's time for AC to divide the lounge into two sections one for the true international business class and ""Super Elite"" status pax and the other for the basic ""Elite"" pax and those flying on shorter route Rouge Premium. Provide a quiet area with better food for the first group and keep the current set up for the second group. My biggest wish is for AC to provide decent wifi access in its Canadian lounges. I have had better wifi access in ""developing"" world airports.",Toronto Pearson Airport,2.0,3,3,2.0,1.0,2.0,1.0,4.0,no
Air Canada,Now seated in lounge after a two week trip with time spent in other business class lounges Think Toronto maple leaf lounge is one of the worst we have visited Have visited this lounge often but prompted to finally share my thoughts with other travellers as the offering of a few salad items chilli Con carne and stale bread receives a failing grade Air Canada's food is consistently weaker than other competitors.,Toronto Pearson Airport,2.0,5,3,2.0,1.0,3.0,1.0,2.0,no
Air Canada,Very comfortable and nicely decorated lounge with small but high quality food and drinks selection. Plenty of seating space and some proper tables and chairs to dine at rather than just sofas everywhere. Nice place.,London Heathrow Airport,5.0,5,5,5.0,4.0,5.0,4.0,4.0,yes
Air Canada,This is the worst lounge. Bathrooms dirty and over flowing trash minimal lounge areas and NO BAR. They don't have a liquor license. All this at a time when the terminal at LAX is under renovation and offers minimal services. I can't believe a first class lounge could be so bad.,Los Angeles Lax Airport,1.0,1,1,1.0,1.0,1.0,3.0,1.0,no
Air Canada,I visit this Lounge six times a year in the pass few years. In my every visit the feelings are more or less the same in average except the food choices is very disappointing only cup cakes vegetables and cold boiled eggs. I have never encounter of any hot food nor hot soup in this lounge. Asian instant noodle is never seen here. My wife even prefer to sit outside in those paid cafe to have proper eating.,Toronto Pearson Airport,3.0,4,3,3.0,1.0,3.0,2.0,3.0,no
Air Canada,Worst lounge we have ever experienced poor service no food except crackers and cheese. Our flight was late and did not leave till 2:30 am the lounge closed at 11:30 pm. The seating was very uncomfortable bar only had very cheap wines that were free. Overall it was awful.,Honolulu Airport,1.0,1,1,1.0,1.0,1.0,3.0,1.0,no
Air Canada,"I am always pretty pleased with the Air Canada Lounges (Vancouver is very good and so is Edmonton). Calgary has always been a large and crowded one. They have just done some renovations and while it looks much better (and the staff are invariably courteous and helpful) there is one down-side. There is no longer a self-serve bar. Been through there at least six times in the last month. When the Lounge is not too busy the bar is just fine (they will mix your drink or pour your wine) BUT when the Lounge is busy you end up standing along the bar with people several travellers deep... trying to get the bartender's attention. Once you have it it is very good - not sure if they are trying to control alcohol cost by not letting you ""help yourself"" but it certainly (only when the Lounge is busy as it often is) slows you down. I only had a 35 minute change of planes and could not get anything for the first 15minutes - waited at the bar got my wine drank half and had to leave. Again - it looks great but it is tougher if you are in a hurry. Staff still very courteous.",Calgary Airport,4.0,4,4,2.0,3.0,4.0,4.0,5.0,yes
Air Canada,After a very long walk from check in through security and then into T2B (this is the terminal adjacent to the new Terminal 2 at Heathrow where Air Canada has its arrival/departure operations) we finally arrived at the Lounge; access is by elevator (lift) from the departure terminal gates to an upper floor. We found way finding signage lacking in this brand new terminal and directions to Air Canada's ML Lounge were no exception. We were absolutely exhausted by this time and looking forward to settling in for lunch before our 3 p.m. flight to YUL. The Lounge was very large and of course brand new. Seating was plentiful and the menu selection was excellent with a complete self-serve bar. There was a chef preparing various cooked meals however we just helped ourselves to more lighter fare as we knew we would be having lunch/supper on the flight in a few hours. Washrooms were excellent with private toilets and showers. There was also a business centre which we did not use n or did we use WiFi as it was not secure. We would definitely access this lounge again now that we know where it is.,London Heathrow Airport,4.0,4,4,4.0,4.0,4.0,3.0,2.0,yes
Air Canada,vMy spouse and I were flying to LHR via YUL on Premium Economy fares so we were able to purchase Maple Leaf (ML) access for the day of our travel. This is a relatively new Lounge in Winnipeg's James Richardson International Airport which opened a new terminal in 2011. The Lounge is easy to find near Gate 9. Staff were not particularly friendly and just verified our boarding passes without comment. We got seating window-side and helped ourselves to beverages and breakfast prior to our flight to YUL. All amenities and services were very good and seating is plentiful and comfortable.,Winnipeg Airport,4.0,4,4,4.0,4.0,4.0,4.0,2.0,yes
Air Canada,After a long and frustrating process getting through customs and security after our flight from LHR we were looking forward to accessing the domestic terminal ML Lounge before our next two flights home. As usual it was a challenge finding the Lounge and the few Air Canada employees we talked to just grunted and pointed to another annex of the domestic terminal to its location - still not clear. We walked a considerable distance from our departure gate to somewhere near Gate 2 to access the Lounge. We were greeted by the same indifference from Lounge staff we experienced in our previous three ML Lounge visits in our trip to the UK; our boarding passes were scrutinized and handed back to us without comment. We walked into a somewhat small lounge with dated furniture passengers lounging about everywhere (this was about 6:30 p.m.) and almost every seat occupied. We finally found a couple of hard chairs in the walkway between the window seats and airline-style gate seats in th e back of the Lounge. We went to the self-serve food area only to find it barely stocked mostly with appetizers. Very disappointing. We were looking forward to proper meal as we knew we would not get any food service on our two upcoming flights through to YWG. The washrooms were dirty dated and in poor condition (broken panels towels all over the place). The overall condition of this Lounge appeared to be one of neglect or indifference. This would not make a very good impression on AC's frequent travellers or international business travellers. We finished up as soon as we could and left for our gate. We looked for a comment card but could not find one and Lounge staff were busy with other passengers. By this time there was almost just standing room.,Montréal Airport,2.0,2,2,2.0,1.0,2.0,2.0,1.0,no
Air Canada,After a very long walk from Gate 5 to Gate 52 we finally found the Maple Leaf Lounge in the International area of the YUL terminal. We found way finding signage in YUL to be barely adequate and that is being generous. This also held true for finding this Lounge. Staff were polite but not overly friendly; they just checked our boarding passes and handed them back without even making eye contact. We entered a large brightly lit lounge but could not find a window table; we had to settle for a table in the computer area. As we had a three-hour wait before departing for YUL we had a good lunch of soup sandwiches salads and beverages. Menu selection was varied. Seating was comfortable and washrooms were clean. WiFi is available but not secure. There was a good selection of newspapers and magazines. We would definitely access this lounge again.,Montréal Airport,4.0,4,4,4.0,4.0,4.0,3.0,2.0,yes
Air Canada,EVA use the Air Canada Lounge in the new Terminal 2. A very nice airy new lounge at the new Terminal. It was very quiet when I was there 19;00-21:00 there was ample hot/cold food. the lounge is nice and bright/airy. |There is a bar tender which in itself is not a problem but sometimes there was a wait while they were out clearing tables or taking orders. All in all a vast improvement than the old lounge that was used in Terminal 3.,London Heathrow Airport,4.0,4,4,4.0,3.0,4.0,4.0,4.0,yes
Air Canada,We visited the Air Canada transborder Lounge on the 14th of Sept. We were very pleased with the service and facilities offered. We had a long lay over and enjoyed both the breakfast and lunch offered. A variety of beverages were available. The lounge was very clean and roomy.,Vancouver Airport,5.0,5,5,5.0,5.0,4.0,5.0,5.0,yes
Air Canada,BRU-YUL-SFO. We went out of our way to fly Air Canada back home from Europe. Had a 6-hour layover in Montreal which was nice. Easy access to the lounge staff speaks English and French (and possibly some other languages) quite fluently. Food in the lounge was not up to par (about 900 ml of cold pasta salad and some other similarly sized items were available for everybody). I went downstairs to the Burger King. Other than that however the internet is fast and functional there is a television and a wide selection of alcoholic beverages in an open-bar format. Not the best lounge but certainly not the worst.,Montréal Airport,4.0,4,4,5.0,2.0,3.0,4.0,5.0,yes
Air Canada,I arrived at this lounge and it was hard to find a seat. the food was horrible. Empty hot meal trays just nacho chips salad and dips. Molsen beer tap was broken wine selection of one white and one red.,Vancouver Airport,1.0,1,1,1.0,1.0,1.0,1.0,1.0,no
Air Canada,The lounge of transhipment for flights to the United States. provides appropriate care. The Buffett is very good tasty including wide range of drinks. Wi Fi works and is fast. There are several workstation. The furniture is beautiful. In the room you stay comfortable all the time. A proper and respectful service with passengers. If you option Air Canada deserves to be prestigious.,Montréal Airport,4.0,4,5,4.0,4.0,3.0,4.0,4.0,yes
